city,state,shape,date
Chester,VA,light,2019-12-12
Rocky Hill,CT,circle,2019-03-22
NA,NA,NA,NA
Ottawa,ON,teardrop,2019-04-17
Peoria,NY,cigar,2009-03-15
Kirbyville,TX,disk,2019-04-02
Tucson,AZ,unknown,2019-05-01
Gold Canyon,AZ,circle,2019-04-10
Dallas,TX,oval,1973-07-14
Caloocan City (Philippines),NA,other,2019-06-06
Brookville,IN,sphere,2019-06-18
Melbourne Beach,FL,unknown,2019-06-12
Carrizozo,NM,changing,2019-06-11
Waco,TX,circle,2018-06-15
Centerville,IA,circle,1999-08-15
Gray Court,SC,light,1975-07-17
Yuba City,CA,formation,2019-08-17
Abilene,TX,light,2019-08-14
Leyner,CO,light,2019-08-09
Catalina,AZ,cigar,2019-08-09
Santa Barbara,CA,flash,2019-08-06
Charlestown,RI,chevron,2019-08-05
Springfield,TN,disk,2019-08-03
Marin County,CA,sphere,2019-08-01
Maitland,FL,other,2019-07-29
Clarksville,TN,NA,2019-07-25
West Bowmanstown,PA,triangle,2019-06-27
Wall,NJ,light,2015-06-15
Franklin,TN,chevron,2006-03-22
Woodford Green (UK/England),NA,other,2006-02-06
Erie,PA,cigar,2001-09-11
N. Cascades Nat. Park,WA,light,1979-07-15
New York,NY,cylinder,NA
Bristol,PA,light,NA
"Lulworth, Dorsetshire (near) (UK/England)",NA,NA,NA
Alma,MI,disk,NA
Morehouse,MO,cylinder,NA
Palm Springs,CA,cigar,NA
Chicago,IL,circle,NA
Independence,MO,fireball,NA
Cincinnati,OH,diamond,NA
Golden,TX,disk,NA
Portland,OR,unknown,NA
Boston,MA,disk,NA
St Louis,MO,sphere,NA
El Cerrito,CA,fireball,NA
Guernsey,WY,sphere,NA
Columbus,OH,circle,NA
Woodland Hills,CA,triangle,NA
Louisville,KY,unknown,NA
Livingston,NJ,disk,NA
York,PA,egg,NA
Tehran (Iran),NA,diamond,NA
Vineland,NJ,fireball,NA
Lawrenceburg,KY,disk,1969-06-01
Orangevale,CA,unknown,1969-06-01
Rocky Mount,NC,sphere,1969-07-27
Warren,MI,disk,1970-07-01
South Windsor,CT,oval,1970-07-15
Stockton,CA,fireball,1970-07-22
Forrest City,AR,disk,1971-06-01
Broken Bow,OK,triangle,1971-06-14
Toronto,ON,fireball,1971-07-15
Puyallup,WA,circle,1971-07-25
Menands,NY,chevron,1971-10-12
Oxnard,CA,sphere,1971-12-25
Essex (UK/England),NA,unknown,1972-05-07
Les Escoumins,QC,fireball,1972-07-01
Cold Lake,AB,light,1973-04-15
San Jose,CA,triangle,1973-06-15
Alabama,AL,unknown,1973-07-01
Philip,SD,disk,1973-09-22
Collierville,TN,disk,1973-10-15
Ventura,CA,circle,1974-04-15
New Rochelle,NY,oval,1974-08-10
New Rochelle,NY,oval,1974-08-10
Columbia,SC,disk,1974-09-13
Waterford,PA,disk,1975-04-18
Rifle,CO,disk,1975-06-15
Marley Park,MD,circle,1975-07-04
"Camp Hansen (Okinawa, Japan)",NA,triangle,1975-07-14
Elmira Heights,NY,circle,1976-06-30
Houston,TX,unknown,1976-08-01
Sacramento,CA,oval,1976-09-15
Dallas,TX,disk,1976-10-30
Fort Worth,TX,disk,1977-06-01
Gaithersburg,MD,cigar,1977-06-01
Whittier,CA,triangle,1977-06-30
Hillsborough,CA,cigar,1977-07-12
Rock Hill,SC,disk,1977-07-15
Pensacola,FL,oval,1978-06-01
Ocean City,NJ,triangle,1978-06-01
Gadsden,AL,sphere,1978-08-15
Greenfield,IN,light,1978-09-01
Cold Lake,AB,formation,1979-05-20
Phoenix,AZ,disk,1979-08-20
East New York,NJ,disk,1979-09-15
Cape Elizabeth,ME,light,1979-09-21
Brampton,ON,cross,1979-11-03
Mount Weather,VA,unknown,1980-06-24
Bricktown,NJ,formation,1980-08-15
Kent,WA,teardrop,1980-08-22
Lilburn,GA,disk,1981-09-14
Rouyn Noranda,QC,disk,1982-06-01
Oakland,MD,light,1982-06-01
Excelsior Springs,MO,triangle,1982-06-01
Elizabeth Township,PA,oval,1983-10-01
Griffin,GA,circle,1984-03-15
Rouyn Noranda,QC,sphere,1984-06-01
Denton,TX,light,1984-06-30
Schuylkill Haven,PA,triangle,1984-09-15
Edgartown,MA,triangle,1984-11-11
Hay Lakes,AB,circle,1984-11-15
Bemidji,MN,triangle,1985-06-01
Marysville,WA,unknown,1985-07-01
Monterey Bay Area,CA,formation,1985-12-01
Knoxville,TN,rectangle,1986-04-04
Milpitas,CA,light,1986-06-01
Oxford (UK/England),NA,sphere,1986-06-15
Phoenix,AZ,fireball,1986-07-13
Kingwood,TX,diamond,1986-07-31
Marcellus,MI,triangle,1986-08-01
Las Vegas,NV,disk,1987-01-29
Butler,PA,other,1987-04-14
Kitsap County,WA,light,1987-08-15
Marina,CA,other,1987-08-15
Tulare,CA,light,1987-09-15
Swansea (UK/England),NA,triangle,1987-10-21
Powhatan,VA,triangle,1988-03-08
Woburn,MA,light,1988-06-20
"Suzhou, Jiangsu (China)",NA,circle,1988-08-10
Tuttle,OK,formation,1989-05-01
Louisiana,LA,triangle,1989-05-15
Hampton,VA,cigar,1989-10-15
Rosemere,QC,diamond,1988-08-15
Murfreesboro,TN,oval,1990-02-02
Davenport,IA,triangle,1990-02-14
West Point,NY,triangle,1990-05-15
Townsville (Australia),NA,teardrop,1990-06-01
Scottsdale,AZ,triangle,1990-06-30
Lindenhurst,NY,triangle,1990-07-01
